iter	Logloss
158	0.472235918
159	0.4717478752
160	0.4713495572
161	0.4708921512
162	0.4706013997
163	0.4700390895
164	0.4697205623
165	0.4693448146
166	0.469110926
167	0.4687916835
168	0.4683526357
169	0.4679481188
170	0.4676456451
171	0.4673425357
172	0.4668485324
173	0.4665784041
174	0.4662271341
175	0.46595637
176	0.465379556
177	0.4650468826
178	0.4646248023
179	0.4642722209
180	0.4637707074
181	0.4635091623
182	0.4634228547
183	0.4631217321
184	0.4627074401
185	0.4623192946
186	0.4618566036
187	0.4615697066
188	0.4613049825
189	0.4609700044
190	0.4605804682
191	0.4603411357
192	0.4602249463
193	0.4599182606
194	0.4596479734
195	0.459182779
196	0.4588009119
197	0.458521843
198	0.4582006931
199	0.4579859575
200	0.4577046235
201	0.4575088024
202	0.4572550456
203	0.4570337137
204	0.4567619165
205	0.456485192
206	0.4562766155
207	0.4560071627
208	0.4556299051
209	0.45520552
210	0.454924504
211	0.4545022647
212	0.4542909463
213	0.4539181391
214	0.4537165562
215	0.4533756971
216	0.4531315168
217	0.4529495637
218	0.4525930087
219	0.4524207513
220	0.4522232215
221	0.4520059427
222	0.4517191251
223	0.4514547189
224	0.4512086709
225	0.4509670734
226	0.4507801533
227	0.4505716562
228	0.4503827095
229	0.4501599471
230	0.4498445193
231	0.449605306
232	0.4493868748
233	0.4490954479
234	0.4489043156
235	0.4487236341
236	0.4485324621
237	0.4482176304
238	0.4479648272
239	0.4475365082
240	0.4472632011
241	0.4471096992
242	0.4470102787
243	0.446671327
244	0.4464546839
245	0.4462185303
246	0.4460677306
247	0.4459001621
248	0.4456183116
249	0.4453416665
250	0.4450443586
251	0.4447467724
252	0.4445195993
253	0.4442636967
254	0.4440317949
255	0.4438150724
256	0.4436995586
257	0.443496863
258	0.4433414539
259	0.4430902402
260	0.4429322879
261	0.4427047571
262	0.4425186316
263	0.442159613
264	0.4419589043
265	0.4417644342
266	0.4415293535
267	0.4413540363
268	0.441210707
269	0.440968593
270	0.4407246113
271	0.440538764
272	0.4402718147
273	0.4400932391
274	0.4398552577
275	0.4397321542
276	0.4396118323
277	0.4394046068
278	0.4391864936
279	0.4390077988
280	0.4387811025
281	0.4386608203
282	0.4384144147
283	0.4382147789
284	0.4380993843
285	0.4380092621
286	0.4377567371
287	0.4375758171
288	0.4373401801
289	0.4371337891
290	0.4369554917
291	0.4367095629
292	0.4364912907
293	0.4362469514
294	0.4360840321
295	0.4359002113
296	0.4356635412
297	0.4355731408
298	0.435409228
299	0.4352542559
300	0.4349450668
301	0.4347528617
302	0.4346020222
303	0.434355855
304	0.4340796073
305	0.4338578383
306	0.4335615238
307	0.4333953063
308	0.4332711697
309	0.4331440528
310	0.4329868952
311	0.4328879118
312	0.4326595465
313	0.4324611823
314	0.4323256811
315	0.4321225882
316	0.4320165316
317	0.4318798383
318	0.4317191442
319	0.4315016667
320	0.4313975175
321	0.4312155247
322	0.4309507608
323	0.4308365981
324	0.4307088057
325	0.4305051168
326	0.4303132296
327	0.4301211834
328	0.4300607045
329	0.4298907518
330	0.4297103882
331	0.4294834137
332	0.4293746551
333	0.4291786353
334	0.4290120602
335	0.4287765821
336	0.428608497
337	0.4284160932
338	0.4283289115
339	0.4281892379
340	0.4279899597
341	0.4278509617
342	0.4274680614
343	0.4273947477
344	0.4272206624
345	0.4271051089
346	0.4269420306
347	0.4267930587
348	0.4266492128
349	0.4264637629
350	0.4261627992
351	0.4259001414
352	0.4257885218
353	0.4256211917
354	0.4254422585
355	0.4253766537
356	0.425286293
357	0.425155441
358	0.4249739647
359	0.4248958429
360	0.4247812033
361	0.424621741
362	0.4245154063
363	0.4242624442
364	0.4241648515
365	0.4240716298
366	0.4239096244
367	0.4237391949
368	0.4236512184
369	0.4234835307
370	0.4233172735
371	0.4232056936
372	0.423040549
373	0.4229774475
374	0.4228897492
375	0.422793746
376	0.4226553043
377	0.4225018819
378	0.4223909378
379	0.4221960704
380	0.4221397638
381	0.4218866825
382	0.4217725595
383	0.4216409127
384	0.4214519262
385	0.4213592211
386	0.4211836656
387	0.4209818045
388	0.4208443165
389	0.4206581116
390	0.4204965432
391	0.4203462601
392	0.4202184677
393	0.4199964205
394	0.4198664029
395	0.4196463029
396	0.4194875558
397	0.4192670981
398	0.4190761646
399	0.4190091689
400	0.4188582102
401	0.4187761148
402	0.4186543624
403	0.4185540676
404	0.418393453
405	0.418296059
406	0.418128411
407	0.4179823001
408	0.4178656737
409	0.4177912474
410	0.4177187284
411	0.417558829
412	0.4174164931
413	0.4172694286
414	0.4170796871
415	0.4168958664
416	0.4166866541
417	0.4164867004
418	0.416254282
419	0.4161524773
420	0.4159977436
421	0.4158660571
422	0.415753603
423	0.4157064358
424	0.4155263503
425	0.4154500167
426	0.4153652191
427	0.4152248303
428	0.4150608381
429	0.4149885972
430	0.4148668448
431	0.4147574107
432	0.414644599
433	0.414503932
434	0.4144275983
435	0.4143174489
436	0.4141906102
437	0.4141201973
438	0.4140544335
439	0.4139556885
440	0.413810571
441	0.4137325287
442	0.4134890238
443	0.4134267171
444	0.4131998618
445	0.4130802155
446	0.412989378
447	0.412793835
448	0.4127041499
449	0.4126505454
450	0.412497282
451	0.4124106963
452	0.4122638702
453	0.4121348063
454	0.4120399157
455	0.4118620952
456	0.4117322763
457	0.4116415183
458	0.4115533034
459	0.4114800294
460	0.4114267031
461	0.4113375346
462	0.4112670819
463	0.4111728668
464	0.4110908508
465	0.4109772046
466	0.4108022849
467	0.4106473128
468	0.4105804761
469	0.4104623795
470	0.4102737109
471	0.4099689722
472	0.4098297755
473	0.4096167088
474	0.4095396201
475	0.4093775749
476	0.4092837969
477	0.4091778199
478	0.4090520541
479	0.4089986881
480	0.4088248412
481	0.4086503983
482	0.4086076419
483	0.4085177183
484	0.4084016879
485	0.4083096186
486	0.4082202117
487	0.4081132809
488	0.4080255032
489	0.4079368512
490	0.4078786373
491	0.4077465932
492	0.407528758
493	0.4074281057
494	0.4072687229
495	0.4071430365
496	0.4070003827
497	0.4069283009
498	0.4067899386
499	0.406699419
